--Loading Data mm-dd-yyyy.txt
USE [TestDB2];
GO

ALTER TABLE Employee NOCHECK CONSTRAINT ALL;

-- Add Department data
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D22', 22, N'Sales', N'quad gravis et egreddior fecundio, et parte quis plorum et apparens trepicandor parte Sed Versus plurissimum regit,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D28', 63, N'Marketing', N'non quo rarendum cognitio, si manifestum si homo, eudis et habitatio fecundio, manifestum eggredior. quad dolorum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D44', 23, N'Human Resources', N'essit. vobis non egreddior glavans vantis. et funem. fecit. transit. bono Quad quoque et funem. et ut pars volcans quo, in quoque gravis')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D53', 48, N'Customer Service', N'quantare fecit. linguens Sed Longam, estis estis volcans funem. estum. imaginator rarendum volcans travissimantor apparens')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D56', 34, N'IT', N'quo plurissimum volcans gravis e funem. in glavans ut quad plorum travissimantor estum. e gravis quo,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D57', 40, N'Operational', N'et e funem. et delerium. egreddior pars et quad et quantare apparens gravum apparens quad dolorum quantare non')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D6 ', 38, N'Administrative', N'quartu quad ut quad pars fecit. quantare quo, vobis trepicandor nomen non esset Id in quis plurissimum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D75', 49, N'Production', N'quad egreddior manifestum Sed et venit. vobis nomen travissimantor quartu Sed egreddior transit. quad nomen quad')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D89', 29, N'Social', N'et travissimantor quo apparens plorum fecit, ut non Longam, et funem. plurissimum travissimantor quo')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D96', 55, N'TOP SECRET', N'novum nomen Versus Longam, non pladior travissimantor transit. quad dolorum dolorum egreddior in quis quad')
GO

-- Add Employee data
SET IDENTITY_INSERT [dbo].[Employee] ON 
GO
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (1, N'D75', N'Angie', N'Fuller','06-17-2010', N'Q06SSYOAPDT0T9NEZJQJAWIJDM9RS2H2SYCENK8GLUPFZFKO8YHG4',0,'06-07-2015','07-13-2010')
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (71, N'D96', N'Angelina', N'Ware','03-10-2002', N'DY4NI1QDEQRYBHX5VAC6FQPB8TJY31VAD0AZ1P96KNK4N',1,'04-05-2015','03-29-2002')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (72, N'D56', N'Tyler', N'Keller','10-12-1990', N'P0JD4S1BZM8SFOIRADVHLB6X4616MS6KNQ3IFP',0,'04-05-2015','11-10-1990')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (73, N'D6 ', N'Jeanine', N'Cain','04-27-2015', N'2911O',0,'01-24-2016','05-19-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (74, N'D75', N'Jerry', N'Quinn','03-21-2012', N'89KNSD796WETM9XRUP6',0,'04-23-2015','04-10-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (75, N'D89', N'Kirk', N'Roberts','06-12-2007', N'N4OK0CKFS8KAI6VWHIUFYBHUPOSGZBECU833LZNFSR',0,'05-22-2015','06-16-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (76, N'D28', N'James', N'Jacobs','05-02-1992', N'XC3BGD19CURHCNTVBK4GGT7GA3SBIVFM6UKIMDC2',0,'04-13-2015','05-17-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (77, N'D75', N'Jon', N'Jenkins','03-03-2010', N'12H2',1,'08-27-2015','03-16-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (78, N'D75', N'Linda', N'Bell','03-25-1993', N'QGR4BUOB044N0CLQRHE',1,'10-25-2015','04-04-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (79, N'D28', N'Garrett', N'Gallagher','09-05-1996', N'AH3B8Y71IERPDJCBJEJKYVUFDYCZG7AL3XG9DFVCMMSLCEAG096DXU7EMNXAM8KA4',0,'12-25-2015','09-21-1996')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (80, N'D96', N'Mandy', N'Freeman','05-18-1999', N'MF32Y3I6XB382ZOVZ71WN8Q1MQIKQE2IH6SUDXB2UQWVBDKYLQ8D97IDP1G8LX',0,'05-13-2015','05-24-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (81, N'D28', N'Thomas', N'Schwartz','08-20-2006', N'I8KRW7TI1VZ1WCUQ85JY05O89NE5BH3GWBDNQMORS7',1,'11-24-2015','09-14-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (82, N'D56', N'Patrick', N'Higgins','07-13-1995', N'I95L1UB722YFCKCH8SO6KSI5LY7ZMHS6TY6Y42CA0A0EYV12E4FY31MPR0Z2M',0,'01-05-2015','07-30-1995')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (83, N'D57', N'Michelle', N'Wilcox','10-21-1991', N'KL9RLDDDD6FD59S46PX4LI1T3RBH732ANPQF46ANO1Q9JPVDXMTA',1,'09-04-2015','10-25-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (84, N'D53', N'Brent', N'Mccoy','07-24-2000', N'HQ2JGOU1W5A45PGJD00FAGKRSADWYKK9S45ZNWNHFLSVG5DZFTJMSUV15AQ6AX3C',0,'12-05-2015','08-22-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (85, N'D6 ', N'Jared', N'Chan','11-22-1993', N'0B0KGVHCJZPOOBNWDH50YHX94TD5H6IH',0,'10-16-2015','12-19-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (86, N'D56', N'Susan', N'Rocha','05-28-2007', N'BGTCFYX2A9U5DHZ39XGYCMJDRGNIBUCH78DUUKYI7XN',0,'01-15-2016','06-07-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (87, N'D89', N'Marco', N'Braun','05-12-2003', N'33QBE2792J2OXFLZBFRFXDY4448PYXQFYBANPB49N2EN6OXEYY7R58AQ5L79',0,'04-09-2015','05-31-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (88, N'D89', N'Kate', N'Houston','12-26-2009', N'IA5SNQL5X9ZBH',1,'07-10-2015', '07-07-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (89, N'D75', N'Franklin', N'Maddox','03-01-2009', N'UYBYF6UQZPZ9Q1J',1,'02-24-2015','03-17-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (90, N'D75', N'Kerry', N'Boyle','11-30-2012', N'33UF4R9UJYC91O8GOFGSTNR3ZRBGTDZJLF6VG',1,'06-12-2015','11-30-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (91, N'D96', N'Melisa', N'Mc Clure','07-14-2005', N'N2OGFHTKPAHILBLROGCQGDGT15YSOMICZLRE3D8A9F20ZASOYUQQJQLALVFAI1V3S4JZJ7N',1,'04-04-2015','07-18-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (92, N'D44', N'Rogelio', N'Spence','08-28-2000', N'71H1AGTQCATUVSS90GS7XYR8JZ8UQS4R6FIH9K051OX7717ZCAY',1,'02-10-2015','09-05-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (93, N'D57', N'Salvatore', N'Haley','05-24-2001', N'EFD9A8IB7ZZJ61NGAA0GGN590J1HR8IGT1DQ18701PX2OD15ERP1AIMR948Q70JYHJP4OW',0,'06-08-2015','06-02-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (94, N'D6 ', N'Rick', N'Potter','05-07-2010', N'12ZERP3KNIV30JG6BFMHXZGT15YL5NXHHCOYA4U16KL8C',0,'01-19-2016','05-27-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (95, N'D53', N'Alex', N'Odom','04-10-2003', N'JF0C',0,'03-02-2015','04-16-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (96, N'D44', N'Cindy', N'Ponce','11-11-2011', N'O2FH1M6DLRHE0KELNVHV7KLACE8H3MIKS88F2VMC4Q89P',0,'01-29-2016','12-02-2011')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (97, N'D89', N'Elisabeth', N'Bradford','10-09-2006', N'LNYCWKJH74G54NDPAZ8XLRCYIR94QGBBL6SKIQQY1B14YXQYZFG91RKUAZT4BE',0,'03-17-2015','10-26-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (98, N'D44', N'Garrett', N'Rubio','02-07-1993', N'RS5JYUS6J99VAQ80L1A',0,'10-24-2015','03-04-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (99, N'D28', N'Wendi', N'Bean','02-23-2015', N'BZ29TLY9JXLNMK9BSDR368XZRWA32Z7209FSPVQDWIMMNM9PGX7896Z212IXBU7K',1,'12-29-2015','02-27-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (100, N'D22', N'Alisa', N'Miranda','11-14-2002', N'JMC5HLWME7NMBC4MKN4RYS',0,'02-05-2016','11-26-2002')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (101, N'D6 ', N'Karrie', N'Burke','03-14-2009', N'9CQNDT11B2W4',0,'05-16-2015','04-04-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (102, N'D6 ', N'Jo', N'Vaughan','06-24-2003', N'WKZBAMVZCGQQDAQ72TQQS3SRYJSC5CJE84PZOTGCXUXVZWZIBU896D7TS8DRTIU0XCI9LRJ9CDS',0,'10-24-2015','07-16-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (103, N'D6 ', N'Dianna', N'Harris','10-14-2012', N'5WR',0,'04-19-2015','10-20-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (104, N'D96', N'Nora', N'Donaldson','11-07-1998', N'JA1B3A7UWV7GGPJF0WYNEQWKBYWSL9NVGB7IGIWM4OCPJ3SNUDY8X3MSDH05DE9N7BZ4H0YH0',1,'09-06-2015','11-14-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (105, N'D44', N'Ramona', N'Keller','06-17-2006', N'IQE70759X7BEYCOF5ZIR8PEPH83O6UEG8LLWE6HSZ4H1BTDMF',1,'07-02-2015','06-20-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (106, N'D96', N'Leticia', N'Cannon','05-02-2011', N'UZY93SBOPR4H33TU6CRS1YIQS48DDOVH84ZFHZHSKPHPOH1D8GM0UN0WG8HZKXA0WM9Y3DD7',0,'10-28-2015','05-31-2011')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (107, N'D22', N'Yvette', N'Cox','12-13-1991', N'Y7BHT1A2U5',1,'10-16-2015','12-22-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (108, N'D96', N'Anna', N'Trevino','02-06-2013', N'2UMK3',1,'03-05-2016','02-08-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (109, N'D6 ', N'Alejandro', N'Wilkerson','09-06-1996', N'Y9HI8MEHS172AU3F5WFPEN66WPSDX20OVZE4PCQKXZ002ZJATNOQ4EPB2BLJU0JQ1J7',1,'02-06-2015','10-04-1996')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (110, N'D22', N'Arturo', N'York','09-23-2014', N'FZPS5VREN64X5IJAD9JGA31ER7QWG9YJS8UUXVK9MANV7NDCG8DR',0,'11-07-2015','10-10-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (111, N'D28', N'Monte', N'Fletcher','02-12-2015', N'R',1,'01-04-2015','02-21-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (112, N'D28', N'Jermaine', N'Weiss','09-27-2005', N'CXB1Y5VYD7K5WNPDHOAT0F673TEF8W7K07IWMUM4RBANMIGORUV2OX0WR3X4RFQG0Z4P4SRN2',0,'03-20-2016','10-08-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (113, N'D6 ', N'Hannah', N'Dennis','12-18-2013', N'1O5IKKDPOD14W37L5IXHDCLTNNERKY380IVBR8ICR2RCFW30IIN8PKTP3BVX5M',0,'12-16-2015','01-13-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (114, N'D96', N'Paula', N'Schneider','06-23-1994', N'PAS4D8VUWZKQBL8ERJE81BUIFP68FDL65W12MRPSNOQ85UH4UX3ERD4DFAPO2MEJE',0,'01-02-2016','06-23-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (115, N'D56', N'Cameron', N'Clarke','10-04-2015', N'LEJ6RZTLLCLMCL71EI96ERSNNC21Q097TS83KN54K6RRSSX',0, '01-03-2016','10-26-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (116, N'D28', N'Cary', N'Schaefer','09-30-2014', N'H08W97YTLVIFXRVL3DSKC3HQC5L801VUEYKQSCYMTEIP5Q7SB6NF0CRDJHJ4LPTJ0O0',1,'08-14-2015','09-30-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (117, N'D6 ', N'Kelli', N'Robles','11-14-2010', N'74',1,'01-29-2016','12-02-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (118, N'D57', N'Ruth', N'Hart','04-15-1997', N'QF6RXLSLLXTXTEF',1,'08-15-2015','04-15-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (119, N'D44', N'Shanna', N'Moss','07-04-1990', N'2677AST03LYO',1,'07-26-2015','07-22-1990')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (120, N'D6 ', N'Miranda', N'Arellano','11-08-2015', N'Q8L6DW0ULUSQWX6SSZ5KUYS0XIYL6NBM34VP7RGH',1,'11-22-2015','11-24-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (121, N'D22', N'Donna', N'Ritter','10-16-2013', N'ZGCFGEUN7BMT3MRGK8VYENXI5NS2HL0JN4UHFLH43X',0,'08-26-2015','10-25-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (122, N'D53', N'Marilyn', N'Campos','09-29-2005', N'CP',0,'02-17-2016','10-18-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (123, N'D89', N'Dewayne', N'Brown','01-29-2012', N'ZH38MJKJ0CIT9',0,'04-14-2015','02-07-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (124, N'D22', N'Julian', N'Whitehead','07-16-2011', N'LS6MB35ZSA1ZRR',1,'11-22-2015','11-30-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (125, N'D44', N'Timothy', N'Compton','12-25-2006', N'HOLSBNAY8Y',1,'03-05-2015','12-30-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (126, N'D75', N'Clarissa', N'Mc Intyre','07-14-1991', N'Y43IYLBOIARC0MN0PT7NSTOJNX0X5BUXNU41VABF',0,'06-10-2015','07-20-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (127, N'D96', N'Sherry', N'Todd','08-19-2005', N'29KPCL6NNL41BO5GKV1KDJ6GT',0,'02-23-2015','09-05-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (128, N'D96', N'Rochelle', N'Patterson','12-21-1994', N'6HM5EISZPK3TACUAHQQWC5Z',1,'03-23-2015','12-30-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (129, N'D53', N'Philip', N'Cannon','12-13-1998', N'BFAUAJ23WNEO0I6M8BZLCQKPQ31GQWC1',1,'01-27-2016','12-21-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (130, N'D57', N'Doris', N'Gordon','11-01-2011', N'2UZ7XO6H0XNX59ZJ3N06E8KVL36ILDZBD6YN6E',1,'01-05-2015','11-16-2011')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (131, N'D44', N'Claudia', N'Baxter','10-24-2001', N'MT3CSWRLU1WM9BU3T94MUINVMYCKYABCPCDDBWSYTICHPQQZI34E',1,'02-21-2015','11-21-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (132, N'D57', N'Grant', N'Guzman','01-25-2007', N'RG457PUK7MKPJXWXHSXG5SB666W7C1U5XAXV9736XEMWRS5TT21B7XXY5YZ0TM75RES900',1,'07-23-2015','02-10-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (133, N'D57', N'Lawrence', N'Watkins','05-01-1994', N'9OQJQ6FED12DAZJYZCYQB83D',1,'01-27-2015','05-20-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (134, N'D22', N'Ericka', N'Lutz','01-22-2010', N'7G4D0VSTDRNGE6SQJLZQ9W58GSW19D1KD8JPA1D59KW7WIK660RM3',1,'02-02-2016','01-31-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (135, N'D44', N'Michele', N'Kaufman','06-04-2006', N'1BAWW7ZRJ0Q225N2FI7TGOZXCX',1,'01-26-2016','07-02-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (136, N'D56', N'Marsha', N'Mc Bride','02-26-1993', N'QV9LEGP67EE466I0WHTFFJ3K9EA6CCDKYZ9V9FCLCYFO1D1NXN3GIIS6SPC',1,'02-18-2016','03-23-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (137, N'D89', N'Wesley', N'Miles','12-28-1998', N'',1,'03-27-2016','01-11-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (138, N'D6 ', N'Tyson', N'Liu','03-14-2009', N'ITV1T56WMRG572G3FIVDM9P9W1G723K3CEU4JM77VRBWMBAGC3D6GMK94M5SP',0,'02-01-2015','04-01-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (139, N'D28', N'Kendall', N'Mooney','05-08-2010', N'',1,'12-18-2015','05-18-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (140, N'D75', N'Jocelyn', N'Harris','10-22-1998', N'J7DTS8BJSAOH',0,'12-19-2015','10-23-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (141, N'D56', N'Tim', N'Dyer','06-15-2005', N'YSMKQ0UZQD',1,'03-28-2016','06-15-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (142, N'D96', N'Scott', N'Reeves','07-05-2006', N'PUKZXHFIVXRP8IH70JKVR4PBCZK',1,'06-05-2015','07-22-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (143, N'D28', N'Colin', N'Coffey','04-21-2003', N'P4VSUQ3YOBMAV6MY63E28SUF5HVK48NXWESQ1ZVIEJJPXA0LIR58LISXAFNCVJTFNODHDVW78',0,'03-19-2016','04-28-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (144, N'D6 ', N'Norman', N'Craig','09-08-2010', N'NP84HVG9',0,'04-01-2015','09-29-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (145, N'D6 ', N'Taryn', N'Mejia','01-18-2014', N'D3EBELVFLBIMVP418WJ8MVY0PV2O5YSVLHGC8CZVIGAVP9R0438YX1FH5ELJJ69NJM1D8SSW',0,'05-04-2015','02-15-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (146, N'D89', N'Vickie', N'Henry','01-17-2016', N'NP6L2B',0,'06-03-2015','02-07-2016')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (147, N'D6 ', N'Curtis', N'Bryan','12-10-2002', N'31K2PTYK2Y6URGCB6MB27ESBBC2AB9W234FHL7XQ',1,'07-18-2015','01-02-2003')

